id,name,name_norm,uic,latitude,longitude,country,time_zone,is_city,is_main_station,is_airport
12744,Moosburg,Moosburg,8020471,48.470294,11.9306,DE,Europe/Berlin,FALSE,FALSE,FALSE
13186,Reichertshausen (Ilm),Reichertshausen (Ilm),8020448,48.471193,11.510201,DE,Europe/Berlin,FALSE,FALSE,FALSE
13043,Oppenau,Oppenau,8014301,48.472002,8.15976,DE,Europe/Berlin,FALSE,FALSE,FALSE
6870,Dornstetten,Dornstetten,8029490,48.47211,8.494959,DE,Europe/Berlin,FALSE,FALSE,FALSE
7216,Rottenburg (Neckar),Rottenburg (Neckar),8029322,48.472389,8.935367,DE,Europe/Berlin,FALSE,FALSE,FALSE
1831,La Loupe,La Loupe,8739425,48.4737398,1.0109416,FR,Europe/Paris,FALSE,FALSE,FALSE
11616,Engertsham,Engertsham,8026515,48.473917,13.358698,DE,Europe/Berlin,FALSE,FALSE,FALSE
11852,Geisenhausen,Geisenhausen,8026369,48.473962,12.248324,DE,Europe/Berlin,FALSE,FALSE,FALSE
2101,La Roche-Maurice,La Roche-Maurice,8747426,48.4740885,-4.2050964,FR,Europe/Paris,FALSE,FALSE,FALSE
10071,Bois-le-Roi,Bois-le-Roi,8768220,48.475567,2.691606,FR,Europe/Paris,FALSE,FALSE,FALSE
2156,Bonnemain,Bonnemain,8747806,48.4764049,-1.7654125,FR,Europe/Paris,FALSE,FALSE,FALSE
7746,Offenburg,Offenburg,8014309,48.476479,7.946724,DE,Europe/Berlin,FALSE,FALSE,FALSE
1830,Pontgouin,Pontgouin,8739424,48.477867,1.1414359,FR,Europe/Paris,FALSE,FALSE,FALSE
12320,Kiebingen,Kiebingen,8029321,48.479364,8.973742,DE,Europe/Berlin,FALSE,FALSE,FALSE
1049,Schirmeck—La Broque,Schirmeck-La Broque,8721469,48.47973,7.21594,FR,Europe/Paris,FALSE,FALSE,FALSE
6891,Eutingen im Gäu,Eutingen im Gau,8029398,48.479949,8.782236,DE,Europe/Berlin,FALSE,FALSE,FALSE
2078,Coat-Guégan,Coat-Guegan,8747357,48.4803156,-3.2738023,FR,Europe/Paris,FALSE,FALSE,FALSE
457,Vézelise,Vezelise,8714160,48.4805518,6.1006508,FR,Europe/Paris,FALSE,FALSE,FALSE
11122,Beimerstetten,Beimerstetten,8029100,48.481414,9.976866,DE,Europe/Berlin,FALSE,FALSE,FALSE
11810,Friedrichstal bei Freudenstadt,Friedrichstal bei Freudenstadt,8066082,48.4818,8.376921,DE,Europe/Berlin,FALSE,FALSE,FALSE
13034,Offingen,Offingen,8002100,48.481845,10.376005,DE,Europe/Berlin,FALSE,FALSE,FALSE
6977,Hochdorf (b Horb),Hochdorf (b Horb),8029486,48.482304,8.723042,DE,Europe/Berlin,FALSE,FALSE,FALSE
1826,La Villette—St-Prest,La Villette-St-Prest,8739417,48.4827197,1.5228734,FR,Europe/Paris,FALSE,FALSE,FALSE
5324,Chatonrupt,Chatonrupt,8710748,48.483333,5.116667,FR,Europe/Paris,FALSE,FALSE,FALSE
356,Autreville,Autreville,8711745,48.483333,5.85,FR,Europe/Paris,FALSE,FALSE,FALSE
4749,Mesgrigny,Mesgrigny,8713955,48.483333,3.883333,FR,Europe/Paris,FALSE,FALSE,FALSE
